chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\test\java\org\jfree\chart\labels\StandardXYZToolTipGeneratorTest.java, StandardXYZToolTipGeneratorTest, 154, 56, 0.36363636363636365, 6.0, 0.06060606060606061
src\test\java\org\jfree\chart\labels\SymbolicXYItemLabelGeneratorTest.java, SymbolicXYItemLabelGeneratorTest, 96, 48, 0.5, 6.0, 0.08333333333333333
src\test\java\org\jfree\chart\legend\LegendGraphicTest.java, LegendGraphicTest, 196, 64, 0.32653061224489793, 6.0, 0.05442176870748299
src\test\java\org\jfree\chart\legend\LegendTitleTest.java, LegendTitleTest, 135, 46, 0.34074074074074073, 5.0, 0.06814814814814815
src\test\java\org\jfree\chart\legend\PaintScaleLegendTest.java, PaintScaleLegendTest, 154, 55, 0.35714285714285715, 5.0, 0.07142857142857142
src\test\java\org\jfree\chart\plot\CategoryMarkerTest.java, CategoryMarkerTest, 174, 60, 0.3448275862068966, 7.0, 0.04926108374384237
src\test\java\org\jfree\chart\plot\CategoryPlotTest.java, CategoryPlotTest, 1118, 209, 0.18694096601073346, 38.0, 0.004919499105545617
src\test\java\org\jfree\chart\plot\CombinedDomainCategoryPlotTest.java, CombinedDomainCategoryPlotTest, 242, 79, 0.32644628099173556, 10.0, 0.03264462809917355
src\test\java\org\jfree\chart\plot\CombinedDomainXYPlotTest.java, CombinedDomainXYPlotTest, 249, 84, 0.3373493975903614, 11.0, 0.03066812705366922
src\test\java\org\jfree\chart\plot\CombinedRangeCategoryPlotTest.java, CombinedRangeCategoryPlotTest, 241, 78, 0.3236514522821577, 10.0, 0.03236514522821577
src\test\java\org\jfree\chart\plot\CombinedRangeXYPlotTest.java, CombinedRangeXYPlotTest, 241, 82, 0.34024896265560167, 10.0, 0.03402489626556017
src\test\java\org\jfree\chart\plot\CrosshairTest.java, CrosshairTest, 164, 48, 0.2926829268292683, 6.0, 0.048780487804878044
src\test\java\org\jfree\chart\plot\DefaultDrawingSupplierTest.java, DefaultDrawingSupplierTest, 169, 53, 0.3136094674556213, 4.0, 0.07840236686390532
src\test\java\org\jfree\chart\plot\FastScatterPlotTest.java, FastScatterPlotTest, 200, 64, 0.32, 8.0, 0.04
src\test\java\org\jfree\chart\plot\IntervalMarkerTest.java, IntervalMarkerTest, 131, 53, 0.40458015267175573, 7.0, 0.05779716466739367
src\test\java\org\jfree\chart\plot\MarkerTest.java, MarkerTest, 366, 117, 0.319672131147541, 16.0, 0.019979508196721313
src\test\java\org\jfree\chart\plot\MeterIntervalTest.java, MeterIntervalTest, 90, 42, 0.4666666666666667, 4.0, 0.11666666666666667
src\test\java\org\jfree\chart\plot\MeterPlotTest.java, MeterPlotTest, 217, 68, 0.31336405529953915, 5.0, 0.06267281105990782
src\test\java\org\jfree\chart\plot\MyPlotChangeListener.java, MyPlotChangeListener, 79, 55, 0.6962025316455697, 5.0, 0.13924050632911394
src\test\java\org\jfree\chart\plot\PlotOrientationTest.java, PlotOrientationTest, 67, 41, 0.6119402985074627, 3.0, 0.20398009950248755
src\test\java\org\jfree\chart\plot\PlotRenderingInfoTest.java, PlotRenderingInfoTest, 104, 43, 0.41346153846153844, 4.0, 0.10336538461538461
src\test\java\org\jfree\chart\plot\PlotTest.java, PlotTest, 150, 55, 0.36666666666666664, 2.0, 0.18333333333333332
src\test\java\org\jfree\chart\plot\PolarPlotTest.java, PolarPlotTest, 315, 50, 0.15873015873015872, 9.0, 0.01763668430335097
src\test\java\org\jfree\chart\plot\RingPlotTest.java, RingPlotTest, 140, 48, 0.34285714285714286, 4.0, 0.08571428571428572
src\test\java\org\jfree\chart\plot\SpiderWebPlotTest.java, SpiderWebPlotTest, 295, 77, 0.26101694915254237, 6.0, 0.04350282485875706
src\test\java\org\jfree\chart\plot\ThermometerPlotTest.java, ThermometerPlotTest, 171, 55, 0.3216374269005848, 5.0, 0.06432748538011696
src\test\java\org\jfree\chart\plot\ValueMarkerTest.java, ValueMarkerTest, 201, 56, 0.27860696517412936, 8.0, 0.03482587064676617
src\test\java\org\jfree\chart\plot\XYPlotTest.java, XYPlotTest, 1252, 256, 0.20447284345047922, 48.0, 0.004259850905218317
src\test\java\org\jfree\chart\plot\compass\ArrowNeedleTest.java, ArrowNeedleTest, 79, 42, 0.5316455696202531, 4.0, 0.13291139240506328
src\test\java\org\jfree\chart\plot\compass\CompassPlotTest.java, CompassPlotTest, 121, 49, 0.4049586776859504, 4.0, 0.1012396694214876
src\test\java\org\jfree\chart\plot\compass\LineNeedleTest.java, LineNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\compass\LongNeedleTest.java, LongNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\compass\MeterNeedleTest.java, MeterNeedleTest, 85, 36, 0.4235294117647059, 2.0, 0.21176470588235294
src\test\java\org\jfree\chart\plot\compass\MiddlePinNeedleTest.java, MiddlePinNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\compass\PinNeedleTest.java, PinNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\compass\PlumNeedleTest.java, PlumNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\compass\PointerNeedleTest.java, PointerNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\compass\ShipNeedleTest.java, ShipNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\compass\WindNeedleTest.java, WindNeedleTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\plot\dial\AbstractDialLayerTest.java, AbstractDialLayerTest, 91, 47, 0.5164835164835165, 4.0, 0.12912087912087913
src\test\java\org\jfree\chart\plot\dial\ArcDialFrameTest.java, ArcDialFrameTest, 138, 54, 0.391304347826087, 5.0, 0.0782608695652174
src\test\java\org\jfree\chart\plot\dial\DialBackgroundTest.java, DialBackgroundTest, 134, 54, 0.40298507462686567, 5.0, 0.08059701492537313
